"","361.2087 / 3.47  M","453.2115 / 10.42  ","341.1667 / 3.45","293.1503 / 5.13","345.1423 / 6.27","346.1979 / 4.15  M","435.2417 / 9.00  M","215.1395 / 2.16","590.2780 / 11.00  ","261.1275 / 5.32","359.1582 / 11.13","295.1669 / 5.16  M","418.2251 / 11.01  ","325.1739 / 6.83","375.2210 / 3.76","490.2508 / 11.07","380.1792 / 13.65  ","358.1973 / 13.65  ","636.3357 / 19.68","356.6859 / 3.96  M","332.2191 / 7.10  M","330.2029 / 7.08","289.1505 / 7.69  M","854.3902 / 15.20  ","580.2660 / 7.32  M","449.7488 / 19.19","707.3366 / 10.13  ","439.2266 / 10.13  ","439.7266 / 10.12","433.5526 / 16.71","549.3146 / 16.50","896.4697 / 19.20  ","501.2305 / 7.93  M","569.7558 / 19.86  ","801.3629 / 15.49  ","379.7229 / 10.83","344.2183 / 11.11","373.1723 / 9.41  M","440.2980 / 15.59","345.2137 / 3.57","474.2458 / 8.12","480.2445 / 11.07","379.7088 / 10.72","387.2239 / 8.16  M","423.2304 / 15.02","809.4409 / 19.07  ","428.7079 / 15.05","476.7101 / 13.24","479.2499 / 11.58  ","485.2395 / 15.33","473.2970 / 16.49","490.1937 / 10.46  ","467.2498 / 11.48","416.2343 / 10.19","459.7504 / 10.67  ","396.1783 / 5.87","359.1931 / 3.48","424.7012 / 9.61","376.1834 / 19.61  ","517.2974 / 11.15","395.2276 / 13.11  ","393.2099 / 13.08  ","475.2157 / 13.13  ","521.7810 / 15.92  ","482.2236 / 12.92  ","942.4522 / 10.99  ","402.2699 / 8.03","600.3704 / 8.01","375.1522 / 5.70","298.1403 / 8.89  M","340.1869 / 17.48  ","354.2024 / 19.61  ","423.2236 / 10.54","560.7822 / 19.86  ","558.7644 / 19.86  ","372.2198 / 10.26","465.2696 / 15.50  ","532.2345 / 14.20  ","278.1581 / 11.15","445.2674 / 12.49","492.2111 / 10.45","408.7460 / 9.41  M","468.7141 / 15.70  ","325.1739 / 7.71","429.2712 / 15.30","507.2452 / 10.46  ","632.2772 / 15.72","421.2143 / 12.79  ","542.2931 / 9.50","422.2507 / 12.64","665.3238 / 17.20  ","429.2394 / 6.82  M","346.6914 / 8.06  M","334.1376 / 11.96  ","425.2027 / 15.20  ","545.2679 / 1.93","404.1803 / 18.31  ","243.1710 / 6.86  M","306.1465 / 5.16  M","359.1575 / 10.11"
"560.7822 / 19.86  ",0.95227,0.93874,0.92796,0.93974,0.94024,0.93322,0.92571,0.93043,0.9435,0.94153,0.94557,0.94074,0.94351,0.95171,0.9599,0.94454,0.97015,0.97066,0.9722,0.97015,0.97271,0.97271,0.96656,0.96759,0.97117,0.96502,0.96605,0.96605,0.96605,0.96861,0.97271,0.97271,0.97476,0.97732,0.97629,0.97424,0.97015,0.97373,0.95427,0.96605,0.96041,0.96144,0.96605,0.96195,0.9558,0.96093,0.96298,0.96144,0.95529,0.95324,0.96093,0.96246,0.96298,0.97527,0.97271,0.97578,0.97578,0.9599,0.96554,0.96656,0.96144,0.96451,0.96349,0.95785,0.95529,0.9471,0.94607,0.94915,0.96932,0.97596,0.97251,0.97301,0.99599,1,0.999,0.99098,0.99349,0.99098,0.97895,0.97645,0.98346,0.98296,0.99048,0.98847,0.98697,0.99198,0.99349,0.98447,0.98346,0.99148,0.98146,0.96956,0.97144,0.97294,0.97093,0.96191,0.96492,0.96317,0.96492,0.96693
"558.7644 / 19.86  ",0.94976,0.94024,0.92796,0.94124,0.94074,0.93373,0.92922,0.93043,0.94547,0.94202,0.94702,0.94174,0.94658,0.95324,0.96605,0.95068,0.96963,0.97066,0.9722,0.97168,0.97373,0.97373,0.96861,0.96912,0.96861,0.96502,0.96554,0.96554,0.96554,0.96759,0.9722,0.97271,0.97629,0.97834,0.97783,0.97578,0.97066,0.97424,0.95683,0.96656,0.96246,0.96144,0.9681,0.96502,0.9558,0.96144,0.96554,0.96298,0.95427,0.95683,0.96349,0.96554,0.96349,0.97476,0.97424,0.97424,0.97322,0.96144,0.96554,0.96656,0.96093,0.96451,0.96349,0.95324,0.95376,0.94197,0.94658,0.94966,0.9703,0.97596,0.97202,0.97301,0.99599,0.999,1,0.98948,0.99048,0.98898,0.98196,0.97845,0.98647,0.98447,0.99048,0.98948,0.98898,0.99198,0.99298,0.98547,0.98396,0.98948,0.97695,0.96809,0.97294,0.97344,0.97244,0.96392,0.96642,0.96219,0.96592,0.96893
"372.2198 / 10.26",0.94926,0.9237,0.91944,0.92972,0.93322,0.92521,0.91769,0.92375,0.94251,0.94202,0.93879,0.93072,0.93839,0.943,0.94966,0.94556,0.96246,0.96298,0.96451,0.96246,0.96349,0.96349,0.95632,0.96605,0.96093,0.95632,0.95478,0.95478,0.95478,0.96093,0.97271,0.96554,0.96349,0.96759,0.96656,0.9681,0.96656,0.96451,0.94812,0.96349,0.9558,0.95273,0.96502,0.96195,0.95068,0.95376,0.96041,0.95478,0.95939,0.94556,0.9558,0.95222,0.95324,0.96656,0.96144,0.9681,0.97271,0.94454,0.95376,0.9681,0.95171,0.9558,0.95529,0.94966,0.95119,0.94351,0.93224,0.93327,0.95997,0.9676,0.96219,0.96268,0.98597,0.99098,0.98948,1,0.97795,0.98246,0.96893,0.96993,0.97494,0.97093,0.98246,0.97795,0.97444,0.98296,0.98597,0.96893,0.97795,0.97745,0.97144,0.9671,0.96693,0.97394,0.96292,0.95841,0.9539,0.9553,0.96041,0.9554
"465.2696 / 15.50  ",0.94149,0.92997,0.92521,0.93348,0.93147,0.92646,0.91493,0.92566,0.94694,0.93661,0.94024,0.93448,0.93275,0.9471,0.94607,0.92302,0.96502,0.96298,0.964,0.95683,0.96246,0.96246,0.95529,0.95529,0.96298,0.95734,0.9599,0.9599,0.9599,0.95785,0.96246,0.96349,0.96195,0.964,0.96298,0.95939,0.9599,0.96451,0.94556,0.95529,0.94915,0.95376,0.94915,0.94556,0.95324,0.95734,0.95017,0.95478,0.94607,0.93993,0.94556,0.94863,0.95222,0.96093,0.96041,0.96656,0.964,0.95632,0.9599,0.95222,0.95529,0.95785,0.95734,0.96195,0.94812,0.95068,0.94351,0.94863,0.96342,0.96956,0.97005,0.96907,0.98647,0.99349,0.99048,0.97795,1,0.99599,0.97244,0.97194,0.97394,0.98497,0.98747,0.98497,0.98597,0.98998,0.99298,0.98547,0.98146,0.98547,0.98046,0.96907,0.96492,0.96693,0.96592,0.96041,0.96642,0.9676,0.96592,0.96592
"532.2345 / 14.20  ",0.94575,0.93072,0.93247,0.93523,0.93373,0.92771,0.91518,0.92375,0.95235,0.93563,0.93879,0.93573,0.93634,0.94863,0.95324,0.93122,0.96912,0.96605,0.96707,0.96041,0.96554,0.96554,0.95785,0.96298,0.96246,0.96041,0.96093,0.96093,0.96093,0.96144,0.97066,0.9681,0.96502,0.96707,0.96656,0.96298,0.96912,0.96963,0.94812,0.95837,0.95119,0.95171,0.95478,0.95273,0.95939,0.96144,0.96041,0.96144,0.95222,0.943,0.9471,0.94915,0.95478,0.96451,0.96605,0.97117,0.9681,0.95785,0.96195,0.95734,0.95837,0.96195,0.96093,0.96707,0.9558,0.95068,0.94197,0.94607,0.96194,0.96809,0.96612,0.96563,0.98296,0.99098,0.98898,0.98246,0.99599,1,0.96793,0.97194,0.97093,0.98447,0.98647,0.98296,0.98296,0.98847,0.99248,0.98146,0.98196,0.97845,0.97194,0.97104,0.96392,0.96793,0.96292,0.9564,0.95941,0.96612,0.96392,0.95891
"278.1581 / 11.15",0.91894,0.92095,0.91919,0.9455,0.946,0.94199,0.93999,0.93807,0.9612,0.96219,0.95863,0.945,0.96963,0.96861,0.95888,0.9599,0.96349,0.96656,0.96554,0.96451,0.96246,0.96246,0.9681,0.9599,0.95068,0.95478,0.95478,0.95478,0.95478,0.95734,0.95273,0.95939,0.9599,0.95529,0.9558,0.95427,0.95171,0.95273,0.95683,0.96144,0.96298,0.96144,0.9558,0.96195,0.95939,0.96041,0.95785,0.95785,0.9558,0.96912,0.96861,0.97066,0.93634,0.94658,0.943,0.94915,0.94095,0.94402,0.94966,0.93685,0.93224,0.93736,0.9389,0.94351,0.94812,0.943,0.94505,0.94402,0.96587,0.95825,0.96514,0.96366,0.97595,0.97895,0.98196,0.96893,0.97244,0.96793,1,0.99599,0.998,0.98146,0.99098,0.99148,0.99148,0.99198,0.98547,0.97194,0.95841,0.96492,0.96492,0.95038,0.96191,0.96191,0.98998,0.98096,0.98046,0.96956,0.98948,0.98847
"445.2674 / 12.49",0.9217,0.92671,0.93197,0.94826,0.95227,0.95026,0.94375,0.94046,0.96612,0.96514,0.95912,0.94776,0.97373,0.97168,0.95683,0.96554,0.9681,0.97066,0.96861,0.96759,0.964,0.964,0.97373,0.96605,0.95529,0.96195,0.96195,0.96195,0.96195,0.96246,0.95888,0.96349,0.96195,0.95632,0.95683,0.95478,0.95785,0.95683,0.96349,0.96707,0.9681,0.96707,0.96144,0.96912,0.96963,0.96605,0.96502,0.96502,0.96554,0.97373,0.96963,0.97271,0.93224,0.94607,0.943,0.95222,0.94351,0.94812,0.95427,0.94044,0.93788,0.943,0.94402,0.95632,0.96298,0.95222,0.95171,0.94761,0.96538,0.95776,0.96514,0.96268,0.97444,0.97645,0.97845,0.96993,0.97194,0.97194,0.99599,1,0.99599,0.98196,0.99148,0.99399,0.98847,0.99148,0.98447,0.97043,0.95941,0.96141,0.96091,0.95481,0.96592,0.96743,0.99298,0.98096,0.97093,0.96956,0.98797,0.98246
"492.2111 / 10.45",0.92871,0.92972,0.93147,0.94876,0.95076,0.94676,0.94325,0.93998,0.96022,0.96022,0.95815,0.94926,0.9722,0.97066,0.96349,0.96912,0.9681,0.97168,0.97117,0.97271,0.96912,0.96912,0.97424,0.96759,0.95785,0.96246,0.96041,0.96041,0.96041,0.96144,0.96041,0.96605,0.9681,0.96451,0.964,0.964,0.95939,0.95939,0.96246,0.9681,0.96963,0.96861,0.96502,0.96861,0.96554,0.96656,0.96554,0.96605,0.96246,0.97476,0.97629,0.97783,0.94658,0.95632,0.95324,0.95632,0.95171,0.94915,0.9558,0.94812,0.94197,0.94658,0.94812,0.94966,0.95376,0.94607,0.95119,0.94915,0.96883,0.96169,0.96661,0.96563,0.98146,0.98346,0.98647,0.97494,0.97394,0.97093,0.998,0.99599,1,0.98396,0.98948,0.99349,0.99148,0.99298,0.98797,0.97093,0.96392,0.96943,0.96642,0.95383,0.96743,0.96693,0.98797,0.97995,0.97494,0.96858,0.98747,0.98747
"408.7460 / 9.41  M",0.93122,0.9242,0.93448,0.94726,0.93824,0.93272,0.93172,0.929,0.97104,0.9435,0.94702,0.94876,0.95017,0.96349,0.96144,0.94556,0.96707,0.96656,0.96451,0.95683,0.96349,0.96349,0.96451,0.96963,0.94863,0.95888,0.95529,0.95529,0.95529,0.94863,0.96195,0.96554,0.9599,0.96246,0.96093,0.96195,0.96502,0.964,0.95683,0.95939,0.96144,0.96144,0.95734,0.95785,0.96298,0.96656,0.9558,0.97527,0.94454,0.95632,0.95734,0.964,0.94249,0.95171,0.95734,0.95529,0.95529,0.95324,0.95785,0.9471,0.94812,0.95171,0.95273,0.95529,0.94658,0.95068,0.94607,0.95222,0.96342,0.95874,0.96465,0.96219,0.97695,0.98296,0.98447,0.97093,0.98497,0.98447,0.98146,0.98196,0.98396,1,0.98396,0.98647,0.99699,0.99248,0.99349,0.97494,0.97344,0.96191,0.96191,0.95874,0.96843,0.96843,0.97595,0.97795,0.97093,0.96809,0.98146,0.98046
"468.7141 / 15.70  ",0.93974,0.93423,0.92546,0.94976,0.95076,0.94475,0.93874,0.93807,0.95874,0.96022,0.95718,0.94826,0.96093,0.96605,0.96349,0.95068,0.97476,0.97527,0.97424,0.96912,0.97168,0.97168,0.97424,0.96963,0.96656,0.96451,0.96912,0.96912,0.96912,0.97476,0.97015,0.97168,0.97117,0.96861,0.97015,0.96451,0.96861,0.9722,0.96144,0.96912,0.96502,0.96451,0.96451,0.96963,0.96349,0.964,0.96605,0.96349,0.96298,0.96298,0.96298,0.96707,0.94402,0.96195,0.95888,0.97015,0.96093,0.9599,0.964,0.95324,0.94966,0.95478,0.95376,0.96041,0.96605,0.95478,0.94812,0.94915,0.9703,0.97005,0.97251,0.97104,0.98647,0.99048,0.99048,0.98246,0.98747,0.98647,0.99098,0.99148,0.98948,0.98396,1,0.99499,0.99148,0.99499,0.99098,0.98497,0.97144,0.97845,0.97344,0.96563,0.96693,0.97043,0.98797,0.97294,0.97344,0.97005,0.97795,0.97544
"325.1739 / 7.71",0.93623,0.93473,0.93799,0.94926,0.95177,0.94726,0.93773,0.9395,0.95874,0.9612,0.95621,0.94826,0.96246,0.9681,0.96144,0.95529,0.97015,0.9722,0.97168,0.97066,0.96912,0.96912,0.97732,0.96861,0.96298,0.96554,0.96605,0.96605,0.96605,0.96912,0.96451,0.96861,0.9722,0.96759,0.96861,0.96195,0.96144,0.96656,0.96144,0.96707,0.96605,0.96861,0.96144,0.96759,0.96605,0.96656,0.96759,0.96707,0.96502,0.96502,0.9681,0.97271,0.94146,0.95888,0.9558,0.96554,0.95683,0.95478,0.95683,0.95068,0.94556,0.95068,0.95017,0.95683,0.9599,0.95017,0.94915,0.94812,0.96981,0.96465,0.9676,0.96563,0.98447,0.98847,0.98948,0.97795,0.98497,0.98296,0.99148,0.99399,0.99349,0.98647,0.99499,1,0.99098,0.99349,0.99048,0.97845,0.96893,0.97544,0.96392,0.9612,0.96743,0.96793,0.98396,0.97344,0.96392,0.97055,0.97995,0.98146
"429.2712 / 15.30",0.93423,0.93022,0.92997,0.95277,0.94575,0.94074,0.94124,0.93521,0.96907,0.95284,0.95476,0.95327,0.96041,0.97015,0.96759,0.95324,0.9722,0.97271,0.97117,0.96451,0.96963,0.96963,0.97066,0.97168,0.95683,0.96349,0.96246,0.96246,0.96246,0.95837,0.96554,0.97015,0.96605,0.96707,0.96656,0.96656,0.96656,0.96759,0.96349,0.96656,0.9681,0.96707,0.96298,0.96502,0.96554,0.96963,0.96093,0.97322,0.95222,0.96502,0.96554,0.97066,0.94761,0.95683,0.95939,0.96041,0.95734,0.95888,0.96298,0.95119,0.95068,0.95478,0.9558,0.9558,0.95171,0.95427,0.95222,0.95734,0.96833,0.96465,0.97055,0.96858,0.98196,0.98697,0.98898,0.97444,0.98597,0.98296,0.99148,0.98847,0.99148,0.99699,0.99148,0.99098,1,0.99649,0.99499,0.98046,0.97344,0.96943,0.96943,0.9612,0.97093,0.97093,0.98447,0.98346,0.98046,0.97202,0.98647,0.98597
"507.2452 / 10.46  ",0.94124,0.93072,0.93448,0.95127,0.94926,0.94475,0.93723,0.93903,0.96563,0.95579,0.9567,0.95227,0.96298,0.97015,0.96349,0.95478,0.97578,0.97629,0.97578,0.97015,0.97168,0.97168,0.9722,0.97424,0.96554,0.96963,0.96656,0.96656,0.96656,0.96656,0.97168,0.97578,0.96963,0.97015,0.96912,0.9681,0.96963,0.96861,0.96195,0.96963,0.96861,0.96759,0.96502,0.96707,0.97117,0.97322,0.96861,0.97322,0.96093,0.96759,0.96861,0.97066,0.95119,0.964,0.96093,0.96759,0.964,0.9558,0.96349,0.95427,0.95324,0.95734,0.95785,0.96554,0.96041,0.95939,0.95273,0.95478,0.96932,0.96858,0.97251,0.97055,0.98497,0.99198,0.99198,0.98296,0.98998,0.98847,0.99198,0.99148,0.99298,0.99248,0.99499,0.99349,0.99649,1,0.998,0.97945,0.97344,0.97494,0.97444,0.96661,0.97093,0.97144,0.98447,0.97895,0.97494,0.97596,0.98647,0.98096
"632.2772 / 15.72",0.94575,0.92871,0.93698,0.94826,0.94475,0.93874,0.93022,0.93521,0.96415,0.95038,0.95137,0.94976,0.95529,0.96605,0.96195,0.94863,0.97476,0.97424,0.97476,0.96861,0.97168,0.97168,0.96759,0.97271,0.96349,0.96656,0.96246,0.96246,0.96246,0.96195,0.97271,0.97424,0.96912,0.97117,0.96963,0.96963,0.96963,0.96861,0.95785,0.96759,0.96502,0.96502,0.96246,0.96195,0.96861,0.97271,0.96605,0.97271,0.9599,0.9599,0.96605,0.96656,0.95734,0.96605,0.96451,0.96912,0.96861,0.95478,0.96195,0.95888,0.95478,0.95888,0.9599,0.96451,0.95273,0.95785,0.94863,0.95273,0.96833,0.9676,0.97005,0.96858,0.98447,0.99349,0.99298,0.98597,0.99298,0.99248,0.98547,0.98447,0.98797,0.99349,0.99098,0.99048,0.99499,0.998,1,0.97745,0.97795,0.97544,0.97444,0.96809,0.96843,0.97043,0.97444,0.97494,0.97294,0.97596,0.98396,0.97995
"421.2143 / 12.79  ",0.91744,0.93197,0.89614,0.91744,0.91744,0.91594,0.91844,0.91755,0.9376,0.93071,0.93734,0.91644,0.91944,0.92558,0.93788,0.92302,0.94812,0.94761,0.94658,0.94249,0.94915,0.94915,0.94454,0.94044,0.94915,0.943,0.95529,0.95529,0.95529,0.94454,0.94761,0.94556,0.94761,0.94966,0.95068,0.94966,0.94915,0.9558,0.9471,0.94863,0.94402,0.943,0.94966,0.94607,0.93275,0.93429,0.93327,0.93327,0.92814,0.93327,0.92814,0.93532,0.93122,0.9389,0.94607,0.94556,0.94146,0.95939,0.95837,0.94454,0.95068,0.95324,0.95171,0.93736,0.94505,0.92763,0.94044,0.94351,0.96046,0.97448,0.97399,0.97448,0.98948,0.98447,0.98547,0.96893,0.98547,0.98146,0.97194,0.97043,0.97093,0.97494,0.98497,0.97845,0.98046,0.97945,0.97745,1,0.98948,0.98396,0.97544,0.96809,0.97695,0.97995,0.97695,0.96342,0.97043,0.94792,0.94939,0.95089
"542.2931 / 9.50",0.92671,0.93373,0.90692,0.91168,0.91268,0.91218,0.91418,0.91182,0.93563,0.92088,0.92718,0.91318,0.91278,0.91944,0.93275,0.92917,0.9471,0.94607,0.94658,0.94454,0.95017,0.95017,0.93788,0.94351,0.94915,0.94454,0.95222,0.95222,0.95222,0.93378,0.95427,0.94556,0.94607,0.95273,0.95119,0.95837,0.95273,0.95427,0.94966,0.95376,0.94812,0.94658,0.95683,0.94607,0.93634,0.9389,0.93378,0.93736,0.9348,0.93019,0.93173,0.93327,0.94607,0.94249,0.95222,0.94505,0.95273,0.95888,0.96041,0.96246,0.96195,0.96349,0.964,0.94044,0.9389,0.93122,0.94402,0.9471,0.95653,0.97301,0.97005,0.97153,0.98847,0.98346,0.98396,0.97795,0.98146,0.98196,0.95841,0.95941,0.96392,0.97344,0.97144,0.96893,0.97344,0.97344,0.97795,0.98948,1,0.98146,0.97595,0.97301,0.98296,0.98898,0.96191,0.96292,0.96292,0.9435,0.94538,0.94488
"422.2507 / 12.64",0.94325,0.94575,0.91042,0.9222,0.92771,0.92571,0.9202,0.91803,0.91694,0.92727,0.93153,0.9227,0.92866,0.93275,0.943,0.93275,0.9558,0.95683,0.95939,0.96093,0.96195,0.96195,0.95324,0.94607,0.9722,0.95632,0.96502,0.96502,0.96502,0.96195,0.95837,0.95785,0.96554,0.96759,0.96707,0.96502,0.95427,0.96349,0.94915,0.95785,0.95068,0.95478,0.95785,0.94966,0.93941,0.94402,0.94607,0.93685,0.94607,0.94146,0.9471,0.94812,0.96195,0.96707,0.96451,0.96656,0.96656,0.96349,0.96451,0.96451,0.96502,0.96554,0.964,0.94915,0.95017,0.93941,0.95068,0.95171,0.95899,0.97448,0.96907,0.97104,0.99449,0.99148,0.98948,0.97745,0.98547,0.97845,0.96492,0.96141,0.96943,0.96191,0.97845,0.97544,0.96943,0.97494,0.97544,0.98396,0.98146,1,0.98747,0.96465,0.97194,0.97244,0.96342,0.95139,0.95841,0.94596,0.94437,0.95139
"665.3238 / 17.20  ",0.93373,0.93222,0.90291,0.9222,0.92621,0.9237,0.9217,0.91898,0.92776,0.92825,0.93202,0.92521,0.93378,0.93583,0.92968,0.92968,0.95837,0.95785,0.95837,0.95427,0.95939,0.95939,0.943,0.94044,0.96451,0.94658,0.95785,0.95785,0.95785,0.95017,0.95376,0.95068,0.95068,0.95478,0.95171,0.95939,0.95324,0.95478,0.94658,0.95837,0.94966,0.95478,0.95529,0.94249,0.94095,0.943,0.93071,0.93429,0.94505,0.94146,0.94505,0.94351,0.95939,0.95427,0.95273,0.95376,0.96041,0.95683,0.96656,0.95683,0.95888,0.95837,0.96041,0.95529,0.94761,0.95324,0.95171,0.95376,0.95653,0.9671,0.97005,0.97104,0.98447,0.98146,0.97695,0.97144,0.98046,0.97194,0.96492,0.96091,0.96642,0.96191,0.97344,0.96392,0.96943,0.97444,0.97444,0.97544,0.97595,0.98747,1,0.95973,0.96492,0.97144,0.96893,0.96041,0.97845,0.9494,0.9569,0.95791
"429.2394 / 6.82  M",0.92284,0.92284,0.90317,0.91202,0.91448,0.91743,0.91153,0.93394,0.92712,0.91988,0.91774,0.95456,0.9204,0.92794,0.92794,0.92543,0.94704,0.94604,0.94654,0.94101,0.94302,0.94302,0.9385,0.94553,0.95207,0.95157,0.95408,0.95408,0.95408,0.94051,0.95458,0.95006,0.94151,0.94654,0.94604,0.94805,0.94654,0.94754,0.94855,0.95207,0.94805,0.94553,0.94905,0.94604,0.94503,0.94553,0.94151,0.9385,0.94101,0.93347,0.93146,0.93096,0.93297,0.9385,0.939,0.94553,0.94704,0.94956,0.95157,0.95257,0.95458,0.95659,0.95609,0.94855,0.94553,0.94302,0.94403,0.94503,0.93774,0.95512,0.95367,0.9527,0.96858,0.96956,0.96809,0.9671,0.96907,0.97104,0.95038,0.95481,0.95383,0.95874,0.96563,0.9612,0.9612,0.96661,0.96809,0.96809,0.97301,0.96465,0.95973,1,0.96956,0.97301,0.95481,0.95628,0.94251,0.93967,0.94301,0.93366
"346.6914 / 8.06  M",0.9212,0.94225,0.90842,0.9202,0.9217,0.93272,0.93723,0.91278,0.9376,0.92874,0.93008,0.9212,0.93224,0.93532,0.93634,0.94915,0.94505,0.9471,0.94607,0.94402,0.943,0.943,0.9471,0.95376,0.95785,0.96554,0.96605,0.96605,0.96605,0.9389,0.95478,0.95478,0.94351,0.95068,0.94966,0.9558,0.9471,0.94863,0.97015,0.96195,0.96656,0.96144,0.964,0.96093,0.95324,0.95324,0.9471,0.94812,0.94146,0.95273,0.94197,0.94402,0.93378,0.93685,0.93993,0.93941,0.94454,0.96298,0.96144,0.96144,0.97015,0.96963,0.96912,0.94812,0.95478,0.95017,0.96912,0.9681,0.94325,0.96612,0.96612,0.96465,0.97845,0.97144,0.97294,0.96693,0.96492,0.96392,0.96191,0.96592,0.96743,0.96843,0.96693,0.96743,0.97093,0.97093,0.96843,0.97695,0.98296,0.97194,0.96492,0.96956,1,0.99649,0.97444,0.98196,0.94989,0.94055,0.95089,0.94287
"334.1376 / 11.96  ",0.92471,0.94174,0.90942,0.9217,0.92521,0.93272,0.93773,0.91612,0.94153,0.93366,0.9325,0.9227,0.93275,0.9348,0.93429,0.94915,0.95068,0.95171,0.95017,0.9471,0.94863,0.94863,0.94761,0.95427,0.95785,0.96041,0.96605,0.96605,0.96605,0.94095,0.95939,0.95324,0.94454,0.95119,0.95017,0.95888,0.95324,0.95324,0.97066,0.96707,0.96707,0.96298,0.96861,0.96349,0.95273,0.95119,0.94402,0.94658,0.94915,0.95017,0.94249,0.94351,0.93634,0.93685,0.94197,0.94197,0.94915,0.96502,0.96605,0.96707,0.96963,0.97015,0.97066,0.95068,0.95785,0.95324,0.96554,0.96451,0.94915,0.96858,0.96956,0.96858,0.98096,0.97294,0.97344,0.97394,0.96693,0.96793,0.96191,0.96743,0.96693,0.96843,0.97043,0.96793,0.97093,0.97144,0.97043,0.97995,0.98898,0.97244,0.97144,0.97301,0.99649,1,0.97645,0.98146,0.95791,0.94202,0.95239,0.94437
"425.2027 / 15.20  ",0.91418,0.93122,0.91293,0.94225,0.94525,0.94625,0.94926,0.93378,0.95874,0.95727,0.95428,0.94174,0.96502,0.96144,0.94915,0.9599,0.96246,0.96502,0.96093,0.95734,0.95785,0.95785,0.96656,0.95939,0.95478,0.95785,0.96502,0.96502,0.96502,0.95785,0.95376,0.95734,0.95273,0.95017,0.95068,0.95222,0.9558,0.9558,0.96707,0.96605,0.96759,0.96554,0.964,0.96861,0.9599,0.95529,0.95119,0.95529,0.95376,0.96963,0.95785,0.964,0.92456,0.93736,0.93736,0.94402,0.93788,0.9558,0.96144,0.93993,0.94402,0.9471,0.94761,0.95222,0.96707,0.95376,0.95785,0.95478,0.96046,0.96071,0.96956,0.9671,0.97595,0.97093,0.97244,0.96292,0.96592,0.96292,0.98998,0.99298,0.98797,0.97595,0.98797,0.98396,0.98447,0.98447,0.97444,0.97695,0.96191,0.96342,0.96893,0.95481,0.97444,0.97645,1,0.98447,0.97595,0.95678,0.97695,0.97144
"545.2679 / 1.93",0.91067,0.9232,0.91193,0.93824,0.93473,0.94225,0.94826,0.92471,0.96317,0.95284,0.9446,0.93874,0.95837,0.96298,0.94249,0.95478,0.95324,0.95529,0.95273,0.94556,0.94607,0.94607,0.95324,0.95632,0.94607,0.95888,0.95734,0.95734,0.95734,0.93634,0.94915,0.95273,0.9389,0.94146,0.94095,0.94761,0.94146,0.94095,0.97117,0.964,0.97117,0.9681,0.9558,0.9599,0.96349,0.964,0.94556,0.95683,0.95171,0.96349,0.95632,0.95683,0.92558,0.92507,0.92558,0.93122,0.93224,0.95119,0.95222,0.94505,0.9471,0.94915,0.95222,0.9471,0.94505,0.96298,0.96502,0.96605,0.94669,0.95038,0.9612,0.95727,0.96191,0.96191,0.96392,0.95841,0.96041,0.9564,0.98096,0.98096,0.97995,0.97795,0.97294,0.97344,0.98346,0.97895,0.97494,0.96342,0.96292,0.95139,0.96041,0.95628,0.98196,0.98146,0.98447,1,0.97344,0.96022,0.98447,0.97595
"404.1803 / 18.31  ",0.90266,0.90717,0.88938,0.92521,0.9207,0.91468,0.9242,0.91898,0.95137,0.93858,0.93976,0.92621,0.94351,0.94402,0.93736,0.93224,0.95017,0.94966,0.94812,0.94197,0.95017,0.95017,0.93685,0.93224,0.93122,0.92456,0.93532,0.93532,0.93532,0.92917,0.9348,0.93378,0.9348,0.9348,0.93378,0.94249,0.93993,0.9389,0.93993,0.94607,0.94249,0.94249,0.94044,0.93532,0.93327,0.93634,0.91944,0.93122,0.93173,0.94146,0.94249,0.943,0.93788,0.92661,0.93275,0.92814,0.92866,0.94146,0.94863,0.92917,0.92712,0.93019,0.9348,0.92917,0.92353,0.93429,0.93429,0.93941,0.95604,0.95088,0.9612,0.96169,0.96592,0.96492,0.96642,0.9539,0.96642,0.95941,0.98046,0.97093,0.97494,0.97093,0.97344,0.96392,0.98046,0.97494,0.97294,0.97043,0.96292,0.95841,0.97845,0.94251,0.94989,0.95791,0.97595,0.97344,1,0.9553,0.97745,0.97945
"243.1710 / 6.86  M",0.91399,0.89973,0.91497,0.92825,0.92629,0.92333,0.91104,0.91146,0.94691,0.93822,0.96641,0.92874,0.94654,0.95559,0.93699,0.92844,0.95307,0.95257,0.95307,0.94604,0.94604,0.94604,0.94654,0.94654,0.94,0.94503,0.94,0.94,0.94,0.94101,0.94503,0.94956,0.94252,0.94051,0.94,0.93749,0.9385,0.93799,0.93749,0.94503,0.94403,0.94553,0.93246,0.93749,0.95408,0.95609,0.94553,0.94905,0.94654,0.94352,0.94805,0.94654,0.92895,0.93548,0.92995,0.94202,0.93598,0.92844,0.93397,0.92694,0.92442,0.92895,0.93096,0.94704,0.93146,0.94553,0.93146,0.93347,0.94064,0.93533,0.94208,0.93919,0.95137,0.96317,0.96219,0.9553,0.9676,0.96612,0.96956,0.96956,0.96858,0.96809,0.97005,0.97055,0.97202,0.97596,0.97596,0.94792,0.9435,0.94596,0.9494,0.93967,0.94055,0.94202,0.95678,0.96022,0.9553,1,0.97497,0.96809
"306.1465 / 5.16  M",0.91468,0.90466,0.92546,0.94525,0.94174,0.93924,0.93373,0.93187,0.97153,0.95973,0.95041,0.94625,0.97117,0.97527,0.94966,0.95273,0.96144,0.96246,0.96144,0.95529,0.95427,0.95427,0.95785,0.95734,0.94044,0.95068,0.94402,0.94402,0.94402,0.94351,0.94863,0.95478,0.94658,0.94351,0.94249,0.94454,0.94454,0.94044,0.95171,0.95632,0.95939,0.95939,0.94402,0.95068,0.96656,0.96759,0.95273,0.96246,0.95785,0.964,0.96656,0.96451,0.93378,0.93583,0.93122,0.93993,0.93583,0.93224,0.93993,0.93019,0.92507,0.92968,0.93378,0.95017,0.93736,0.95683,0.94351,0.94454,0.95309,0.94006,0.95186,0.94842,0.9549,0.96492,0.96592,0.96041,0.96592,0.96392,0.98948,0.98797,0.98747,0.98146,0.97795,0.97995,0.98647,0.98647,0.98396,0.94939,0.94538,0.94437,0.9569,0.94301,0.95089,0.95239,0.97695,0.98447,0.97745,0.97497,1,0.99298
"359.1575 / 10.11",0.91468,0.90817,0.92345,0.94425,0.93974,0.93272,0.93122,0.92948,0.9612,0.9553,0.94702,0.94475,0.96502,0.97066,0.95273,0.94761,0.95734,0.95939,0.95888,0.95632,0.95734,0.95734,0.95939,0.94966,0.93685,0.94044,0.9389,0.9389,0.9389,0.94197,0.94044,0.9471,0.95171,0.94658,0.94607,0.94607,0.93993,0.94249,0.94556,0.95119,0.95324,0.95837,0.94044,0.94454,0.95273,0.95734,0.943,0.9558,0.95119,0.95683,0.96656,0.96759,0.9389,0.9389,0.93736,0.94044,0.93634,0.93378,0.93788,0.92968,0.91995,0.92456,0.92866,0.93583,0.92507,0.943,0.93634,0.93941,0.95751,0.93858,0.9494,0.94743,0.95991,0.96693,0.96893,0.9554,0.96592,0.95891,0.98847,0.98246,0.98747,0.98046,0.97544,0.98146,0.98597,0.98096,0.97995,0.95089,0.94488,0.95139,0.95791,0.93366,0.94287,0.94437,0.97144,0.97595,0.97945,0.96809,0.99298,1
