"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31"
"CM1",-295.95,53.355,-37.279,42.431,-15.649,58.797,-20.63,25.578,30.416,-95.982,48.464,91.704,-37.183,-66.579,-52.909,-17.519,6.2443,61.554,53.275,-50.658,-10.851,-5.0161,-60.186,40.058,21.179,15.159,5.3776,1.3126,-20.575,124.85,-1.205e-13
"CM2",-294.63,-30.769,-26.54,-2.2806,5.0933,20.291,-34.063,40.379,2.0423,13.644,12.868,20.294,13.77,-9.2363,-15.269,-36.365,16.56,-66.708,-81.998,22.739,42.875,194.38,-94.694,-60.558,13,-5.6597,50.528,-35.03,-20.678,-6.7085,-4.9655e-13
"CM3",-284.44,58.631,-32.248,38.279,-5.2229,28.772,-31.396,-1.2632,-40.831,-8.5835,-27.759,1.4601,60.403,-26.519,8.7846,-5.8478,-27.21,-15.122,-60.215,-25.91,-16.259,-32.545,29.536,26.447,-93.275,156.23,114.48,52.087,8.0116,-11.129,3.7133e-13
"CM4",-164.89,196.86,82.451,37.556,55.806,-256.01,103.29,-58.512,193.86,23.26,14.944,-6.8801,-15.004,21.846,-33.497,68.229,-64.509,-36.565,-9.1304,-32.331,-1.7307,19.18,-13.971,28.363,-4.8109,4.1005,3.0685,1.3284,1.7321,1.0364,-7.2164e-16
"CM5",-281.87,76.21,-9.3576,34.497,-4.1864,27.366,11.201,5.505,13.163,-39.024,17.164,25.576,-5.0156,-32.26,-13.839,12.519,20.714,-9.8401,-13.967,137.95,12.88,-17.387,-15.418,-30.559,-108.13,-14.791,-76.258,-19.129,140.46,11.107,-3.5705e-13
"CO1",-207.79,75.199,-30.551,12.945,5.503,106.6,124.6,-30.713,15.333,14.043,36.853,-16.792,-106.33,150.5,66.19,-5.2653,89.715,-24.295,118.66,5.6821,-1.2317,67.296,80.147,2.2404,-17.483,34.183,25.641,-11.914,-4.4736,3.9627,1.5337e-13
"CO2",-260.76,67.676,-18.031,28.565,-4.6537,-10.939,-39.836,-32.586,-50.309,23.145,-35.302,-39.654,98.965,0.36093,38.47,-31.066,27.1,-74.639,66.192,-12.587,-13.341,23.858,-45.301,11.184,-35.907,-37.997,-92.496,151.85,-55.962,2.0332,2.5427e-13
"CO3",-283.45,72.817,-23.737,50.328,-2.07,-1.7789,-35.622,4.013,4.7171,-26.867,0.39925,-10.488,77.946,-19.848,22.343,-11.879,7.6661,-6.381,2.0419,-133.84,-4.1922,-32.768,87.968,-144.04,-27.495,-97.653,36.108,-36.829,22.404,11.183,-1.3037e-13
"CO4",-274.06,91.292,4.1729,34.842,-9.4688,6.7971,-3.0958,-33.567,6.0621,1.7281,7.4058,5.259,52.781,-23.699,-1.1998,37.895,20.238,-45.528,13.667,136.41,-25.521,-89.979,4.0931,-90.719,77.942,53.832,-8.0787,-55.5,-105.98,2.4242,-3.2384e-13
"CO5",-296.49,70.595,-31.715,48.476,-16.502,44.816,-19.695,26.031,41.375,-101.62,50.327,94.749,-40.113,-66.233,-55.37,-22.412,27.776,54.847,54.981,-41.066,2.4934,-13.026,-28.303,22.995,22.37,-3.9573,-14.397,4.3369,-9.0075,-130.64,-2.3875e-13
"CY1",-239.75,58.775,-55.412,-20.631,1.98,-43.275,-48.559,-40.884,-108.58,87.625,-70.829,-32.101,-18.527,-54.935,75.579,64.311,-70.738,139.76,23.956,-33.36,-33.219,76.232,11.263,-2.809,-6.657,51.564,-83.301,-69.028,-8.4389,-5.8531,-2.5271e-13
"CY2",-269.36,61.097,-44.483,-6.0912,-19.331,-18.595,-41.508,-39.711,-71.433,59.852,-55.732,-26.718,59.606,-6.7428,42.456,7.4061,-2.8949,-33.239,74.145,29.758,-21.589,-25.613,-49.39,83.029,100.59,-58.539,101.68,-22.288,95.603,-5.1636,-3.1791e-13
"CY3",-293.44,34.47,-14.7,4.9474,-25.405,25.938,-26.304,29.76,-29.212,-0.0025173,-31.783,5.7671,-12.442,11.67,-14.943,-6.6298,-10.893,-24.249,-69.35,34.221,16.474,-17.445,62.094,135.13,-80.303,-104.57,6.2693,-72.248,-93.921,0.41626,7.6265e-14
"CY4",-228.15,48.437,-49.949,-4.1237,-12.742,124.06,88.138,2.9445,-34.249,54.259,0.51096,-6.6823,-87.04,127.51,33.973,30.801,-58.865,5.6547,-109.75,-60.548,-7.0396,-94.298,-116.91,-28.211,16.616,-17.999,-24.29,16.708,4.1596,-7.1755,-5.2061e-13
"CY5",-290.36,39.491,-7.1072,21.776,-7.7353,14.801,15.358,19.629,-0.98126,-28.43,0.32556,8.4241,-31.878,-17.048,7.0069,-20.449,-21.544,41.672,-115.52,39.865,31.446,35.312,136.41,14.671,125.35,-8.0822,-26.744,96.749,32.453,10.515,1.1052e-13
"M2",441.66,74.77,104.15,-110.95,-60.056,174.57,152.15,91.741,52.94,142.08,65.38,-64.805,65.306,-131.18,-45.293,39.24,-21.334,-4.9677,20.645,-15.562,11.622,10.945,11.705,13.897,-0.72583,-4.9955,0.01375,4.0198,0.50978,-2.0416,-2.528e-13
"M3",-308.03,-237.22,-43.23,-121.39,31.218,12.447,-86.207,64.263,119.51,32.101,21.083,-10.597,7.3066,22.751,-14.253,-45.556,3.7093,-76.994,-14.604,-32.971,-162.84,-5.2564,27.353,25.309,20.058,32.62,-55.061,-30.372,27.367,-1.6913,-1.1142e-13
"M4",449.51,-100.25,-24.744,220.23,27.194,-46.427,91.629,15.889,56.663,148.58,-109.25,89.389,25.468,-3.3486,3.7797,-113.65,92.062,83.179,-22.796,15.349,-26.922,-17.524,-11.575,-4.545,-7.0008,-6.9704,7.1524,0.53514,-4.7349,1.9528,4.3332e-13
"M5",97.163,-263.7,-38.024,-53.003,-124.33,69.072,109.15,-132.32,82.782,-121.24,-96.565,40.078,122.22,51.193,0.67866,58.546,-67.704,33.66,16.496,8.8786,34.296,22.514,1.1163,3.7905,-1.7637,-4.7938,-2.7336,-3.6225,-2.2635,-3.2193,8.9498e-14
"M6",507.63,-32.174,-12.681,149.29,-81.47,-18.876,-18.713,56.411,-23.789,-26.506,39.495,-42.103,-59.06,12.69,10.928,-135.06,-204.1,-42.776,65.933,33.989,1.7175,1.5874,10.085,-21.187,-3.7274,1.4165,3.5643,-6.9145,-3.3999,-2.656,8.8152e-14
"O1",454.99,120.74,240.04,-138.01,-11.827,-12.57,-34.127,157.72,-9.0249,-93.425,-193.48,65.281,-37.132,27.569,53.823,12.414,15.918,-26.056,12.478,-5.5034,-10.048,-0.99888,-7.4191,-16.716,7.5331,10.747,-1.9892,-0.10536,2.9774,1.5085,-1.6447e-13
"O2",-283.82,-129.8,-11.187,-81.123,34.228,-66.104,-61.241,65.778,16.197,71.627,15.291,1.302,27.388,31.978,6.257,-46.648,20.721,-23.132,34.598,-41.209,202.91,-60.147,5.254,16.807,16.583,56.124,-44.933,-32.13,12.136,4.8094,1.2962e-14
"O3",-259.62,-192.59,-3.1426,-146.01,45.075,-63.501,-60.92,53.15,47.424,55.427,26.506,-13.173,-89.969,-13.62,16.067,55.531,-23.006,102.66,44.118,74.701,-1.4457,-20.079,-9.5482,-52.501,-45.263,-56.014,83.448,79.416,-31.04,-1.6022,-2.1399e-13
"O5",679.71,63.796,-301.92,-151.4,266.6,-33.038,96.708,12.307,-50.733,-79.763,-12.472,-9.9355,16.781,-24.102,-15.85,-22.275,-4.1969,-14.3,-4.9762,8.0395,0.43772,-5.8932,1.9172,-0.69944,1.7807,-5.3821,0.47664,-3.3845,-6.8743,-0.22728,3.5583e-13
"O6",31.435,-90.267,83.163,-58.804,-102.35,-163.05,118.61,47.591,-219.02,-1.5821,115.72,80.117,47.426,65.155,-91.773,18.128,25.073,5.5926,-1.8769,-8.338,-43.255,4.0975,11.537,-5.0857,-1.2218,2.3345,-3.8705,0.52379,5.8101,0.24098,3.0609e-13
"O8",574.77,43.565,-89.3,-127.85,-187.41,-25.996,-93.588,-184.59,-6.8069,63.578,-35.462,41.879,-129.85,-58.975,-66.224,-12.935,45.427,-68.003,-18.002,-22.463,13.367,-11.818,16.797,-21.2,-7.1166,2.9913,0.080102,11.546,3.9838,3.9085,-7.4191e-14
"Y2",649.31,-13.768,-87.52,195.68,13.036,37.65,-164.24,84.357,11.399,12.602,3.674,-38.054,20.504,89.141,-103.82,175.11,22.241,0.24368,9.069,-5.201,9.653,17.877,12.142,7.9593,11.227,4.2853,-6.5688,11.665,9.1303,0.42191,3.9074e-13
"Y3",286.32,-30.839,270.42,-1.1543,245.23,99.885,-95.742,-168.51,-38.155,33.026,70.929,86.503,20.268,26.785,-9.6364,-18.146,-42.361,4.1556,-3.5868,-0.72957,1.2089,5.4148,10.146,7.1222,-1.465,-9.5667,0.29323,-2.694,4.4975,-1.2997,-8.1185e-15
"Y4",178.1,-235.86,59.384,152.98,33.334,-39.45,68.723,-9.1673,-46.536,-68.464,39.967,-34.694,-83.023,-133.28,142.84,91.449,51.114,-84.098,-22.447,-31.851,8.3132,-15.211,-10.982,18.916,4.4495,0.47339,-3.3631,-5.2198,-1.0475,-0.29277,-1.7952e-13
"Y5",624.19,104.28,11.361,-67.135,-108.02,-44.706,-89.286,-15.915,67.516,-62.496,147.7,-66.4,74.297,49.643,138.34,-49.398,66.327,89.773,-52.875,13.791,-8.175,-4.0385,-31.017,25.132,-1.6701,1.7988,3.2223,-12.305,-4.272,-0.4101,1.2722e-12
"Y6",-157.91,-54.826,137.72,17.142,34.141,-7.5343,25.211,-55.304,-31.74,-82.594,-66.369,-238.71,-37.868,-1.1917,-133.65,-70.474,60.756,54.145,-9.1567,-7.2497,-2.0297,-9.6468,-24.849,-4.2238,5.337,9.1108,2.6727,-13.365,1.4329,-0.26489,-1.2055e-13
